							
							
							
		Date	Species	Plot	Sex	Weight (g)	Calibration
		7/16/2013	DM	2	F	n/a	n/a
		7/16/2013	DM	7	M	33	Yes
		7/16/2013	DM	3	M	n/a	n/a
		7/16/2013	DM	1	M	n/a	n/a
		7/18/2013	DM	3	M	40	Yes
		7/18/2013	DM	7	M	48	Yes
		7/18/2013	DM	4	F	29	Yes
		7/18/2013	DM	6	F	37	Yes
		8/19/2013	DO	8	F	52	Yes
		8/19/2013	DO	3	F	33	Yes
		10/17/2013	DO	3	F	50	Yes
		10/17/2013	DO	9	F	40	Yes
		12/10/2013	DO	1	M	45	Yes
		12/10/2013	DO	8	F	41	Yes
		12/11/2013	DO	9	F	117	Yes
		11/12/2013	DS	11	F	126	Yes
		11/13/2013	DS	17	M	132	No
		11/13/2013	DS	14	F	113	No
		11/13/2013	DS	11	F	122	Yes
		11/13/2013	DS	4	F	107	Yes
		11/13/2013	DS	4	F	115	Yes
		11/13/2013	DS	4	F	103	Yes
		1/9/2014	DM	1	M	40	Yes
		1/9/2014	DM	1	F	36	Yes
		3/13/2014	DM	1	F	51	Yes
		3/13/2014	DM	1	F	44	Yes
		3/13/2014	DS	1	F	146	Yes
		1/8/2014	NA	2	n/a	n/a	n/a
		1/8/2014	DM	2	M	44	Yes
		1/8/2014	PF	2	F	7	Yes
		1/8/2014	DM	2	M	45	Yes
		1/8/2014	OT	2	n/a	n/a	Yes
		1/8/2014	DS	2	M	157	No
		1/8/2014	OX	2	n/a	n/a	n/a
		2/18/2014	NA	2	M	218	No
		2/18/2014	PF	2	F	7	Yes
		2/18/2014	DM	2	M	52	Yes
		3/11/2014	PF	3	M	8	Yes
		4/8/2014	NA	3	F	n/a	n/a
		5/6/2014	n/a	3	n/a	n/a	n/a
		5/18/2014	NA	3	F	182	Yes
		6/9/2014	OT	3	F	29	Yes
		7/8/2014	NA	3	F	115	Yes
		7/8/2014	NA	3	M	190	Yes
		1/8/1978	DM	4	F	37	Yes
		1/8/1978	DM	4	M	n/a	n/a
		1/8/1978	DM	4	F	48	Yes
		1/8/1978	DO	4	M	52	Yes
		1/8/1978	DL	4	M	35	Yes
